profile_id,user_id,github_repo,full_name,location,years_of_experience,current_position,education_background,privacy_settings,updated_at,avatar_url
1,1,https://github.com/chen-hao-dev,陳浩宇 (Hao-Yu Chen),Taipei,5,Senior Backend Engineer,國立台灣大學 資工系 學士,,2026-01-28 14:20:05+00,
2,2,https://github.com/linda-lin-tech,林雅婷 (Linda Lin),Hsinchu,3,Frontend Developer,國立陽明交通大學 軟體工程 碩士,,2026-01-30 09:12:33+00,
3,3,https://github.com/wang-tech-pro,王俊傑 (Jason Wang),New Taipei,8,System Architect,國立成功大學 電機工程 博士,,2026-01-15 11:45:10+00,
4,4,https://github.com/sarah-lee-code,李曉雯 (Sarah Lee),Taichung,2,Junior Fullstack Developer,淡江大學 資訊管理系 學士,,2026-01-29 22:10:15+00,
5,5,https://github.com/mike-hung-dev,洪明德 (Michael Hung),Taipei,10,DevOps Lead,國立臺灣科技大學 電子工程 碩士,,2026-01-27 18:30:45+00,
6,6,https://github.com/chia-ling-dev,張嘉玲 (Chia-Ling Chang),Kaohsiung,4,Mobile App Developer,AppWorks School 培訓班,,2026-01-20 07:05:22+00,
7,7,https://github.com/kevin-wu-tech,吳冠宇 (Kevin Wu),Taipei,6,Technical Lead,國立清華大學 資工 碩士,,2026-01-25 13:14:12+00,
8,8,https://github.com/nina-chen-tw,陳怡君 (Nina Chen),Tainan,1,Intern Software Engineer,國立中山大學 資工系 在學,,2026-01-30 00:45:55+00,
9,9,https://github.com/alex-tsai-tech,蔡志強 (Alex Tsai),Hsinchu,7,Cloud Solutions Architect,元智大學 資訊工程 碩士,,2026-01-10 15:20:30+00,
10,10,https://github.com/david-liu-remote,劉家豪 (David Liu),Taoyuan,12,Principal Engineer,國立台灣大學 資工系 碩士,,2026-01-29 19:05:11+00,
11,11,https://github.com/alex-tsai-tech,"蔡志強 (Alex Tsai) ",Hsinchu,4,Cloud Solutions Architect,元智大學 資訊工程 碩士,,2026-02-20 12:27:19+00,
12,12,https://github.com/wang-tech-pro,王俊傑 (Jason Wang),New Taipei,4,Senior Software Engineer,"國立成功大學, 電機工程, 博士",,2026-02-20 12:38:30+00,
13,13,https://github.com/nina-chen-tw,陳怡君(Nina Chen),Tainan,0,Intern Software Engineer,"國立中山大學, 資訊工程學系, 在學 (預計 2025 畢業)",,2026-02-20 12:47:05+00,
14,14,https://github.com/mike-hung-dev,洪明德 (Michael Hung),Taipei,10,DevOps Lead,"國立臺灣科技大學, 電子工程, 碩士, 2013",,2026-02-20 13:02:56+00,
15,15,https://github.com/sarah-lee-dev,李曉雯 (Sarah Lee),Taiwan,2,Junior Fullstack Developer," 逢甲大學, 資訊工程學系, 學士",,2026-02-20 13:13:22+00,
16,16,https://github.com/jason-data-eng,吳建宏 (Jason Wu),Taipei,0,Data Engineer,"國立中央大學, 資訊管理學系, 碩士, 2020 畢業","{""privacy"":""private""}",2026-02-20 13:35:03+00,
17,17,https://github.com/chris-ios-dev,林克里斯 (Chris Lin),Kaohsiung,2,iOS Developer,"國立高雄科技大學, 資訊工程學系, 學士, 2021 畢業","{""privacy"":""public""}",2026-02-20 13:43:14+00,
18,18,https://github.com/ethan-golang,鄭宇軒 (Ethan Cheng),Taipei,4,Senior Backend Engineer,"國立陽明交通大學, 資訊工程學系, 碩士, 2019","{""privacy"":""public""}",2026-02-20 13:53:12+00,
19,19,https://github.com/joanne-chao-qa,趙佳穎 (Joanne Chao),"Taipei, Taiwan",3,QA Automation Engineer,"國立中央大學, 資訊管理學系, 學士, 2020 畢業","{""privacy"":""public""}",2026-02-20 14:01:39+00,
20,20,https://github.com/dlin-backend-demo,林大衛 (David Lin),"Taipei, Taiwan",0,Backend Engineer,"國立臺灣科技大學, 資訊管理系, 學士, 2024 畢業","{""privacy"":""public""}",2026-02-20 14:09:05+00,
26,37,,林雅婷,台北市,0,應屆畢業生,國立台灣大學 生物醫學研究所 學士，主修生物統計與基因體學，畢業論文：以 R 語言分析 GWAS 資料之方法比較,,2026-03-04 09:00:00+00,
27,38,,陳怡君,新北市,2,數位行銷企劃,輔仁大學 行銷管理學系 學士，工作 2 年，現職數位行銷企劃，自學 HTML/CSS 約 3 個月,,2026-03-04 09:00:00+00,
